"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-18","2021","02","18","†","-3.0","","-9.5","","-6.3","","24.3","","0.0","","0.0","","7.8","","4.6","","18","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-19","2021","02","19","†","-2.0","","-7.0","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","","25","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-20","2021","02","20","†","-2.0","","-7.0","","-4.5","","22.5","","0.0","","0.0","","1.4","","0.6","","23","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-21","2021","02","21","†","0.0","","-15.5","","-7.8","","25.8","","0.0","","0.0","","5.0","","5.2","","23","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-22","2021","02","22","†","4.0","","-5.0","","-0.5","","18.5","","0.0","","0.0","","0.6","","0.6","","28","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-23","2021","02","23","†","4.5","","-1.0","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-24","2021","02","24","†","9.0","","-3.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-25","2021","02","25","†","1.5","","-4.5","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-26","2021","02","26","†","5.0","","-8.5","","-1.8","","19.8","","0.0","","6.2","","0.0","T","6.2","","14","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-27","2021","02","27","†","6.0","","-2.5","","1.8","","16.2","","0.0","","0.4","","0.0","","0.4","","12","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-28","2021","02","28","†","6.0","","-4.0","","1.0","","17.0","","0.0","","0.6","","0.0","","0.6","","8","","","","",""
